study_title,authors,year,journal,file,variable,sampling_method,observation_category,,description
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,algae_eam_cyanobacteria_nutrients.csv,reference,NA,Literature search,,Citation for the referenced article source in parenthetical format including first author last name and publication year
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,algae_eam_cyanobacteria_nutrients.csv,journal,NA,Literature search,,Name of the journal in which the referenced article was published
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,algae_eam_cyanobacteria_nutrients.csv,doi,NA,Literature search,,Digital Object Identifier of the referenced article if available
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,algae_eam_cyanobacteria_nutrients.csv,category_scientific,NA,Literature search,,"Scientific names of taxa or category if scientific name is not relevant (Chlorophyta, Ochrophyta, Rhodophyta, Epilithic algae matrix, Cyanophyceae)"
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,algae_eam_cyanobacteria_nutrients.csv,category_common,NA,Literature search,,"Common names of the broader taxonomic group or category (Green algae, Brown algae, Red algae, Epilithic algae matrix, Cyanobacteria)"
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,algae_eam_cyanobacteria_nutrients.csv,taxa,NA,Literature search,,Genus or species of the taxa if relevant or more specific information about the category
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,algae_eam_cyanobacteria_nutrients.csv,region,NA,Literature search,,"Region in which the study was conducted (Eastern Pacific, Red Sea, Indo-Pacific, Western Atlantic, Caribbean)"
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,algae_eam_cyanobacteria_nutrients.csv,calories_kcalperg,NA,Literature search,,Mean caloric value in kilocalories per gram if reported (NA if not)
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,algae_eam_cyanobacteria_nutrients.csv,ash_percent,NA,Literature search,,Mean ash content in percent dry weight if reported (NA if not)
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,algae_eam_cyanobacteria_nutrients.csv,carbohydrates_percent,NA,Literature search,,Mean total carbohydrate content in percent dry weight if reported (NA if not)
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,algae_eam_cyanobacteria_nutrients.csv,lipids_percent,NA,Literature search,,Mean lipid content in percent dry weight if reported (NA if not)
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,algae_eam_cyanobacteria_nutrients.csv,proteins_percent,NA,Literature search,,Mean protein content in percent dry weight if reported (NA if not)
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,algae_eam_cyanobacteria_nutrients.csv,magnesium_percent,NA,Literature search,,Mean magnesium content in percent dry weight if reported (NA if not)
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,algae_eam_cyanobacteria_nutrients.csv,phosphorus_percent,NA,Literature search,,Mean phosphorus content in percent dry weight if reported (NA if not)
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,algae_eam_cyanobacteria_nutrients.csv,calcium_percent,NA,Literature search,,Mean calcium content in percent dry weight if reported (NA if not)
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,algae_eam_cyanobacteria_nutrients.csv,iron_ppm,NA,Literature search,,Mean iron content in parts per million dry weight if reported (NA if not)
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,algae_eam_cyanobacteria_nutrients.csv,copper_ppm,NA,Literature search,,Mean copper content in parts per million dry weight if reported (NA if not)
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,algae_eam_cyanobacteria_nutrients.csv,zinc_ppm,NA,Literature search,,Mean zinc content in parts per million dry weight if reported (NA if not)
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,algae_eam_cyanobacteria_nutrients.csv,conversions,NA,Literature search,,Notes on any conversion made to the data or other relevant information about how the data were obtrained from the study
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,chromis_multilineata_fecal_nutrients.csv,category_common,NA,Laboratory analysis,,"Category name (i.e., Feces), used as a category identifier if comparing values from feces to the referenced values in algae_eam_cyanobacteria_nutrients.csv"
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,chromis_multilineata_fecal_nutrients.csv,taxa,NA,Laboratory analysis,,"Genus or species of the taxa if relevant or more specific information about the category (i.e., Chromis multilineata fecal pellet), used as an identifier if comparing values from feces to the referenced values in algae_eam_cyanobacteria_nutrients.csv"
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,chromis_multilineata_fecal_nutrients.csv,region,NA,Laboratory analysis,,"Region in which this study was conducted (i.e., Caribbean)"
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,chromis_multilineata_fecal_nutrients.csv,calories_kcalperg,"Calculated using conversion factors based on those broadly accepted by the USDA: carbohydrate, 4.0 kcal g-1; lipid, 9.0 kcal g-1; protein, 4.0 kcal g-1",Laboratory analysis,,"Calculated caloric value of each fecal pellet sample in kilocalories per gram (n=10 samples, each containing 15 homogenized fecal pellets)"
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,chromis_multilineata_fecal_nutrients.csv,ash_percent,Determined using a muffle furnace at 450 C for five hours,Laboratory analysis,,"Ash content in percent dry weight of each fecal pellet sample (n=10 samples, each containing 15 homogenized fecal pellets)"
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,chromis_multilineata_fecal_nutrients.csv,carbohydrates_percent,"Calculated by difference, Carbohydrates=100-(proteins+lipids+ash)",Laboratory analysis,,"Total carbohydrate content by difference in percent dry weight of each fecal pellet sample (n=10 samples, each containing 15 homogenized fecal pellets)"
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,chromis_multilineata_fecal_nutrients.csv,lipids_percent,Determined using the sulfo-phospho-vanillin method ,Laboratory analysis,,"Lipid content in percent dry weight of each fecal pellet sample (n=10 samples, each containing 15 homogenized fecal pellets)"
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,chromis_multilineata_fecal_nutrients.csv,proteins_percent,Determined using a bicinchoninic acid assay,Laboratory analysis,,"Protein content in percent dry weight of each fecal pellet sample (n=10 samples, each containing 15 homogenized fecal pellets)"
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,chromis_multilineata_fecal_nutrients.csv,magnesium_percent,Determined using ICP-MS analysis,Laboratory analysis,,"Magnesium content in percent dry weight of each fecal pellet sample (n=10 samples, each containing 15 homogenized fecal pellets)"
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,chromis_multilineata_fecal_nutrients.csv,phosphorus_percent,Determined using ICP-MS analysis,Laboratory analysis,,"Phosphorus content in percent dry weight of each fecal pellet sample (n=10 samples, each containing 15 homogenized fecal pellets)"
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,chromis_multilineata_fecal_nutrients.csv,calcium_percent,Determined using ICP-MS analysis,Laboratory analysis,,"Calcium content in percent dry weight of each fecal pellet sample (n=10 samples, each containing 15 homogenized fecal pellets)"
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,chromis_multilineata_fecal_nutrients.csv,iron_ppm,Determined using ICP-MS analysis,Laboratory analysis,,"Iron content in parts per million dry weight of each fecal pellet sample (n=10 samples, each containing 15 homogenized fecal pellets)"
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,chromis_multilineata_fecal_nutrients.csv,copper_ppm,Determined using ICP-MS analysis,Laboratory analysis,,"Copper content in parts per million dry weight of each fecal pellet sample (n=10 samples, each containing 15 homogenized fecal pellets)"
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,chromis_multilineata_fecal_nutrients.csv,zinc_ppm,Determined using ICP-MS analysis,Laboratory analysis,,"Zinc content in parts per million dry weight of each fecal pellet sample (n=10 samples, each containing 15 homogenized fecal pellets)"
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,chromis_multilineata_defecation_rate.csv,site,NA,In situ observations,,Study site name
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,chromis_multilineata_defecation_rate.csv,latitude,Recorded using a Garmin GPS 72 receiver on a surface float attached via a taught line to the diver ,In situ observations,,Study site latitude in decimal degrees
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,chromis_multilineata_defecation_rate.csv,longitude,Recorded using a Garmin GPS 72 receiver on a surface float attached via a taught line to the diver ,In situ observations,,Study site longitude in decimal degrees
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,chromis_multilineata_defecation_rate.csv,date,Recorded using a watch,In situ observations,,Date of observations in YYYY-MM-DD format
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,chromis_multilineata_defecation_rate.csv,fork_length_cm,Visual surveys,In situ observations,,Fork length of the observed Chromis multilineata individual
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,chromis_multilineata_defecation_rate.csv,duration_min,Recorded using a watch,In situ observations,,Survey duration in minutes (all surveys were 3 minutes)
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,chromis_multilineata_defecation_rate.csv,n_defecations,Visual surveys,In situ observations,,Number of observed defecations by the Chromis multilineata individual during the survey
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,fecal_pellet_observations.csv,site,NA,In situ observations,,Study site name
Feces consumption by nominally herbivorous fishes in the Caribbean: an underappreciated source of nutrients? ,"Hannah S. Rempel, Abigail K. Siebert, Jacey C. Van Wert, Kelly N. Bodwin, Benjamin I. Ruttenberg",2021,Coral Reefs,fecal_pellet_observations.csv,latitude,Recorded using a Garmin GPS 72 receiver on a surface float attached via a taught line to the diver ,In situ observations,,Study site latitude in decimal degrees
