site,latitude,longitude,date,fork_length_cm,duration_min,n_defecations
Tolo,12.214962,-68.337958,2019-09-08,7,3,1
Tolo,12.214962,-68.337958,2019-09-08,8,3,0
Tolo,12.214962,-68.337958,2019-09-08,8,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,1
Bachelor's Beach,12.125726,-68.288226,2019-09-09,8,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,6,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,6,3,1
Bachelor's Beach,12.125726,-68.288226,2019-09-09,8,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,6,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,8,3,1
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,8,3,1
Bachelor's Beach,12.125726,-68.288226,2019-09-09,6,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,1
Bachelor's Beach,12.125726,-68.288226,2019-09-09,8,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,8,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,6,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,6,3,1
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,1
Bachelor's Beach,12.125726,-68.288226,2019-09-09,6,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,6,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,8,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,1
Bachelor's Beach,12.125726,-68.288226,2019-09-09,6,3,1
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,1
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,1
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,1
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,0
Bachelor's Beach,12.125726,-68.288226,2019-09-09,7,3,1